road_key,hour,month,is_night,is_rush_hour,is_weekend,at_intersection_binary,school_zone_binary,work_zone_binary,weather_encoded,light_encoded,surface_encoded,historical_crash_rate,ADT,congestion_risk
600 NEWTOWN RD,15,11,0,0,0,1.0,0,0,0.0,0.0,0.0,7,39000.0,2
1700 INDEPENDENCE BL,16,11,0,1,0,1.0,0,0,2.0,2.0,1.0,2,73000.0,2
1421 LUNNHAVEN PKWY,14,5,0,0,0,0.0,0,0,0.0,0.0,0.0,1,43000.0,2
6549 AUBURN DR,14,11,0,0,0,0.0,0,0,2.0,0.0,1.0,1,6700.0,0
1400 SALEM RD,13,3,0,0,0,1.0,0,0,0.0,0.0,0.0,4,15000.0,0
1300 KEMPSVILLE RD,11,12,0,0,1,1.0,0,0,0.0,0.0,0.0,7,39000.0,2
DAM NECK RD,8,12,0,1,1,1.0,0,0,0.0,0.0,0.0,23,36000.0,1
3800 PRINCESS ANNE ROAD,13,9,0,0,1,0.0,0,0,0.0,0.0,0.0,1,20000.0,1
4300 HOLLAN RD,19,10,0,0,0,1.0,0,0,0.0,2.0,0.0,1,19000.0,1
700 BLOCK LYNNHAVEN MALL LOOP,17,11,0,1,0,0.0,0,0,1.0,2.0,1.0,1,46000.0,2
3700 NORTH LANDING RD,9,12,0,1,0,1.0,0,0,0.0,0.0,0.0,4,39000.0,2
FIRST COLONIAL RD,14,7,0,0,0,1.0,0,0,0.0,0.0,0.0,35,36000.0,1
600 NEWTOWN RD,9,12,0,1,0,0.0,0,0,0.0,0.0,0.0,7,39000.0,2
3300 HOLLAND RD,14,9,0,0,0,1.0,0,0,0.0,0.0,0.0,8,36000.0,1
900 BROAD MEADOWS BL,21,11,1,0,0,1.0,0,0,2.0,2.0,1.0,1,30000.0,1
1400 LASKIN RD,2,11,1,0,0,1.0,0,1,0.0,3.0,0.0,2,3000.0,0
900 KEMPSVILLE RD,12,12,0,0,0,1.0,0,0,0.0,0.0,0.0,9,39000.0,2
2000 INDEPENDENCE BL S,17,12,0,1,0,0.0,0,0,0.0,2.0,0.0,6,73000.0,2
800 INDEPENDENCE BL,18,1,0,1,1,0.0,0,0,0.0,2.0,0.0,5,73000.0,2
21 1/2 STREET,20,5,1,0,0,1.0,0,0,0.0,3.0,0.0,1,9600.0,0
NORTHAMPTON BL,23,12,1,0,0,0.0,0,0,0.0,2.0,0.0,23,30000.0,1
