road_key,total_crashes,night_crashes,rush_crashes,weekend_crashes,avg_ADT,accident_risk_level,congestion_risk_level,lat,lon
1/2 STREET,1,1,0,0,9600,Low,Low,36.8487012,-75.981379
100OCEANA BLVD,1,0,0,0,30000,Low,Medium,,
1100NIMMO PKWY,1,1,0,0,14000,Low,Low,,
14TH ST,2,2,0,0,16000,Medium,Low,36.8423902,-75.9741092
1500BLK DAHLIA DR,1,0,1,0,6200,Low,Low,,
17TH ST,1,0,0,1,3300,Low,Low,36.8412035,-75.9872786
18TH ST,2,0,1,0,9650,Medium,Low,36.844965,-75.9823004
19 TH STREET,1,0,0,1,16000,Low,Low,,
1900BLK UPTON DR,1,0,1,1,9400,Low,Low,,
19H ST,1,0,0,1,3300,Low,Low,,
19TH ST,4,0,2,1,3300,Medium,Low,36.8446493,-75.9898216
20TH ST,3,1,0,1,7267,Medium,Low,36.8463327,-75.9849505
21ST ST,5,0,2,2,16000,High,Low,36.8488989,-75.9773998
22 ND 1/2 ST,1,0,0,0,16000,Low,Low,36.8635831,-75.9798968
22 ND ST,1,0,1,0,16000,Low,Low,,
22 ND STREET,1,1,0,1,16000,Low,Low,,
22N ST,1,0,0,0,13000,Low,Low,,
22ND ST,21,6,3,9,13000,High,Low,36.8485285,-75.9852535
23RD ST,2,0,2,1,16000,Medium,Low,36.8500005,-75.9893187
24TH ST,8,1,4,3,2900,High,Low,36.8514469,-75.9801615
25TH HALF ST,1,0,1,0,16000,Low,Low,,
26 TH STREET .,1,0,1,0,16000,Low,Low,,
264W AT WITCHDUCK RD ON RAMP,1,0,0,1,71000,Low,High,,
26TH ST,1,0,1,0,2900,Low,Low,36.8545945,-75.9762268
28TH ST,3,1,0,1,7267,Medium,Low,36.8563326,-75.9779672
2900BLK NORTH LANDING RD,1,1,0,0,71000,Low,High,,
30TH ST,3,2,0,0,16000,Medium,Low,36.8577487,-75.9813732
32ND ST,6,1,4,1,15000,High,Low,36.8597315,-75.9816357
33RD ST,1,0,0,1,15000,Low,Low,36.8607987,-75.9813168
34TH ST,1,1,0,1,2900,Low,Low,36.8618678,-75.9810281
36TH ST,1,0,0,0,16000,Low,Low,36.8640652,-75.9800258
5300BLOCK SUSQUEHANNA DRIVE,1,1,0,1,2100,Low,Low,,
78TH ST,1,0,0,0,16000,Low,Low,36.9028083,-75.9924934
83RD ST,1,1,0,1,16000,Low,Low,36.9076114,-75.9946598
9TH ST,1,0,0,1,3300,Low,Low,36.8185887,-75.9790477
ABBEYVILLE RD,1,0,0,0,39000,Low,High,,
ACADEMY DR,1,0,1,0,9400,Low,Low,36.7723011,-76.0888562
ADAM KEELING RD,3,0,1,2,39000,Medium,High,36.9026928,-76.0758235
ADMIRAL WRIGHT RD,1,0,0,0,39000,Low,High,,
ALBRIGHT DR,1,0,1,0,3700,Low,Low,,
ALCOTT RD,2,0,2,1,71000,Medium,High,36.8446324,-76.0882926
AMBERLEY FOREST ROAD,1,0,1,0,71000,Low,High,,
ANGELFISH LANE,1,0,0,1,1900,Low,Low,36.7095688,-75.9311012
ANVERS ROAD,1,0,1,0,71000,Low,High,,
AQUAMARINE DR,1,1,0,0,5000,Low,Low,,
ARAGONA   BLVD,1,0,0,0,5300,Low,Low,,
ARAGONA BL,10,0,7,0,5300,High,Low,,
ARAGONA BLVD,6,0,4,3,5300,High,Low,,
ARCHDALE DR,1,0,0,0,9400,Low,Low,,
ARCHDALE RD,1,0,0,0,39000,Low,High,,
ARCTIC AVE,2,0,0,1,3600,Medium,Low,36.8443194,-75.9772406
ARROWHEAD DR,3,1,0,0,1900,Medium,Low,,
ASHAWAY ROAD,1,0,0,0,39000,Low,High,36.809975,-76.0854873
ATLANTIC AV,2,1,1,2,7200,Medium,Low,36.9293939,-76.0148788
ATLANTIC AVE,7,0,3,2,7200,High,Low,36.9293939,-76.0148788
ATLANTIC AVENUE,1,0,1,0,7200,Low,Low,36.9103642,-75.9940962
AUBURN DR,1,0,0,0,6700,Low,Low,,
AUTUMN HARVEST DR,1,0,0,0,20000,Low,Medium,,
AVALON WOODS DR,1,1,0,0,420,Low,Low,,
BAKER CT,1,1,0,0,5000,Low,Low,,
BAKER RD,20,6,6,5,5000,High,Low,,
BALFOR DR,1,0,1,0,6700,Low,Low,,
BALTIC AVE,1,0,1,1,5600,Low,Low,36.8340792,-75.9764251
BANCROFT DR,1,0,1,0,9400,Low,Low,36.815766,-76.0960484
BANK ST,1,1,0,0,16000,Low,Low,,
BANNOCK RD,1,0,1,0,39000,Low,High,,
BARK LN,1,0,0,1,1900,Low,Low,,
BAXTER RD,18,1,9,6,19000,High,Medium,,
BAXTER ROAD,2,0,2,0,19000,Medium,Medium,,
BAY COLONY DR,2,0,0,0,12500,Medium,Low,36.8747773,-75.9949491
BAY DR,1,0,1,0,200,Low,Low,36.868663,-75.9935126
BAY POINT DR,1,0,0,0,5000,Low,Low,36.8897671,-76.0337742
BAYCLIFF DR,1,0,1,0,9400,Low,Low,36.883346,-76.0341534
BAYSIDE RD,1,1,0,0,2600,Low,Low,,
BEACH TOWN DR,1,0,0,1,20000,Low,Medium,36.8389893,-75.9945551
BEAUFAIN BL,2,0,1,1,3400,Medium,Low,,
BEECHWALK DR,1,0,1,0,20000,Low,Medium,,
BELLS RD,1,0,1,1,6400,Low,Low,36.8207703,-75.9930715
BELLS ROAD,1,0,1,0,6400,Low,Low,36.8207703,-75.9930715
BERRIE E  CIR,1,0,1,0,1500,Low,Low,,
BERRIE RD,1,0,0,1,71000,Low,High,,
BIRDNECK RD,4,2,0,2,3900,Medium,Low,36.8536633,-75.9956684
BIRDNECK RD N,23,2,8,5,3900,High,Low,36.8540264,-75.9965677
BIRDNECK RD S,7,1,1,4,28000,High,Medium,36.8536633,-75.9956684
BLACKWATER RD,4,2,1,2,2900,Medium,Low,,
BLK .N.GREAT NECK RD,1,0,0,1,71000,Low,High,,
BLK 20TH STREET,1,1,0,1,16000,Low,Low,,
BLK 23 RD ST,1,0,0,0,39000,Low,High,,
BLK BAKER ROAD,1,0,0,0,5000,Low,Low,,
BLK BOLD RULER DR,1,1,0,1,20000,Low,Medium,,
BLK BONNEY RD,1,0,0,0,12000,Low,Low,,
BLK BROCKIE ST,1,0,0,0,16000,Low,Low,,
BLK CLINTON STREET,1,0,1,0,16000,Low,Low,,
BLK DAM NECK,1,0,0,0,36000,Low,Medium,36.7827858,-75.998983
BLK DAM NECK RD,3,0,2,0,36000,Medium,Medium,,
BLK DAM NECK STATION,1,0,1,0,36000,Low,Medium,,
BLK DIAMOND SPRINGS RD,1,1,0,0,22000,Low,Medium,,
BLK EDWIN DR,1,0,0,0,5000,Low,Low,,
BLK EDWIN DRIVE,1,0,0,0,5000,Low,Low,,
BLK FERRELL PARKWAY,1,0,0,0,43000,Low,High,,
BLK FIRST COLONIAL RD,7,2,4,3,36000,High,Medium,,
BLK GENERAL BOOTH BLVD,4,3,0,1,46000,Medium,High,36.7827858,-75.998983
BLK HOLLAND RD,1,0,0,1,36000,Low,Medium,,
BLK HOLLAND ROAD,1,0,1,0,36000,Low,Medium,,
BLK HOSPITAL DR,1,1,0,0,20000,Low,Medium,,
BLK INDEPDENCE BLVD,1,0,0,0,30000,Low,Medium,,
BLK INDEPENDENCE BLVD,1,0,1,0,73000,Low,High,,
BLK INDIAN RIVER RD,5,0,4,0,71000,High,High,,
BLK INDIAN RIVER ROAD,2,0,2,0,71000,Medium,High,,
BLK KEMPSVILLE RD,1,1,0,0,39000,Low,High,,
BLK LASKIN RD,1,0,1,0,3000,Low,Low,,
BLK LASKIN RD.,1,0,1,1,3000,Low,Low,,
BLK LASKIN ROAD,1,0,0,1,3000,Low,Low,,
BLK LEVEL GREEN BLVD,1,1,0,1,1900,Low,Low,,
BLK LOCKE LN,1,0,0,0,1900,Low,Low,,
BLK LONDON BRIDGE RD,1,0,1,1,33000,Low,Medium,,
BLK LONDON BRIDGE ROAD,1,1,0,0,33000,Low,Medium,,
BLK LYNNHAVEN PKWY,2,0,0,0,46000,Medium,High,,
BLK MILL DAM RD,1,0,1,0,8500,Low,Low,,
BLK N . GREAT NECK RD,1,0,1,0,71000,Low,High,,
BLK N . OCEANA BLVD,1,1,0,1,30000,Low,Medium,,
BLK N BIRDNECK,1,1,0,0,3900,Low,Low,,
BLK N GREAT NECK RD,3,0,2,1,71000,Medium,High,,
BLK N GREAT NECK ROAD,1,1,0,1,71000,Low,High,,
BLK N NEWTOWN RD,1,1,0,1,39000,Low,High,,
BLK N.GREAT NECK RD,1,0,0,0,71000,Low,High,,
BLK NEW BRIDGE ROAD,1,0,1,0,2400,Low,Low,,
BLK NEWTOWN ROAD,1,1,0,1,39000,Low,High,,
BLK NIMMO PKWY,1,0,0,0,43000,Low,High,,
BLK NORTHAMPTON BLVD,1,0,0,0,73000,Low,High,,
BLK OCEANA BLVD,3,0,3,0,30000,Medium,Medium,,
BLK OF INDIAN RIVER ROAD,1,0,1,1,71000,Low,High,,
BLK OLD DONATION PKWY,1,1,0,0,6700,Low,Low,,
BLK PACIFIC AVENUE,1,1,0,1,17000,Low,Medium,,
BLK PINEY BARK DR,1,0,1,0,20000,Low,Medium,,
BLK PLEASANT VALLEY RD,1,0,0,0,4100,Low,Low,,
BLK PRINCESS ANNE,1,0,0,0,20000,Low,Medium,,
BLK PRINCESS ANNE RD,7,2,1,5,20000,High,Medium,,
BLK PRINCESS ANNE ROAD,3,1,2,2,20000,Medium,Medium,,
BLK S INDEPENDENCE,1,0,0,0,7900,Low,Low,,
