hour,Day_of_Week,Main_Street,Nearest_Street,At_Intersection,Light_Conditions,Weather_Condition,Roadway_Surface_Condition,Traffic_Control_Device,Intersection_Type,Type_of_Collision,Number_of_Vehicles_Involved,School_Zone,Work_Zone_Related,Zone_ID,road_key,ADT,AAWDT,match_type
17,SAT,HOLLAND RD,WARWICK RD,Yes,,,,,,,2,,,428,HOLLAND RD,36000.0,38000.0,exact
18,TUE,S. INDEPENDENCE BOULEVARD,DAHLIA DRIVE,Yes,,,,,,,3,,,na,S. INDEPENDENCE BOULEVARD,73000.0,77000.0,fuzzy
18,TUE,STONESHORE RD,WILDFLOWER CT,Yes,,,,,,,1,,,na,STONESHORE RD,3000.0,3200.0,exact
19,THU,5000 VIRGINIA BEACH,WITCHDUCK RD N,Yes,,,,,,,2,,,na,5000 VIRGINIA BEACH,2400.0,2600.0,median_fill
2,FRI,5500 VIRGINIA BEACH BL, ,Yes,,,,,,,2,,,325,5500 VIRGINIA BEACH BL,30000.0,34000.0,fuzzy
2,SAT,5620 ELAM AV, ,Yes,,,,,,,1,,,325,5620 ELAM AV,2400.0,2600.0,median_fill
1,THU,300 CONSTITUTION DR, ,Yes,,,,,,,1,,,323,300 CONSTITUTION DR,9600.0,10000.0,fuzzy
17,TUE,4800 NORTHAMPTON,1800 PLEASURE HOUSE RD,25.00 Miles From,,,,,,,3,,,na,4800 NORTHAMPTON,2400.0,2600.0,median_fill
17,TUE,2000 S. INDEPENDENCE BLVD,LYNNHAVEN PARKWAY,  300 Feet From,,,,,,,2,,,na,2000 S. INDEPENDENCE BLVD,73000.0,77000.0,fuzzy
20,TUE,5100 VIRGINIA BEACH BL, ,Yes,,,,,,,1,,,325,5100 VIRGINIA BEACH BL,30000.0,34000.0,fuzzy
20,SAT,2100 INDEPENDENCE,SHORE DR,Yes,,,,,,,2,,,na,2100 INDEPENDENCE,73000.0,77000.0,fuzzy
9,MON,700 OXFORD DR,LITTLE NECK RD,Yes,,,,,,,2,,,321,700 OXFORD DR,5000.0,5400.0,fuzzy
18,THU,2200 PACIFIC AV,22ND ST,,DAYLIGHT,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,FOUR APPROACHES,REAR END,2,NO,NO,na,2200 PACIFIC AV,2400.0,2600.0,median_fill
15,TUE,600 NEWTOWN RD,600 BAKER RD,Yes,DAYLIGHT,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,FOUR APPROACHES,ANGLE,2,NO,NO,423,600 NEWTOWN RD,39000.0,42000.0,fuzzy
16,TUE,1700 INDEPENDENCE BL,PLEASURE HOUSE RD,Yes,DARKNESS-ROAD LIGHTED,RAIN,WET,YES-WORKING,THREE APPROACHES,ANGLE,2,NO,NO,328,1700 INDEPENDENCE BL,73000.0,77000.0,fuzzy
19,SAT,900 ARAGONA BLVD,4900 SULLIVAN BLVD,Yes,,,,,,,2,,,na,900 ARAGONA BLVD,5300.0,5700.0,fuzzy
20,SAT,3700 VIRGINIA BEACH BL,ROSEMONT N RD,,,,,,,,2,,,na,3700 VIRGINIA BEACH BL,30000.0,34000.0,fuzzy
15,WED,100 INDEPENDENCE BLVD S,COLUMBUS ST,Yes,,,,,,,2,,,na,100 INDEPENDENCE BLVD S,73000.0,77000.0,fuzzy
22,SUN,4220 VIRGINIA BEACH,THALIA RD,Yes,,,,,,,3,,,na,4220 VIRGINIA BEACH,2400.0,2600.0,median_fill
14,FRI,500 BLOCK KEMPSVILLE RD,5100 BLOCK PRINCESS ANNE RD,Yes,,,,,,,3,,,na,500 BLOCK KEMPSVILLE RD,71000.0,78000.0,fuzzy
12,SUN,264E OFF RAMP,400 LYNNHAVEN PKWY.,Yes,DAYLIGHT,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,TWO APPROACHES,REAR END,2,NO,NO,na,264E OFF RAMP,2400.0,2600.0,median_fill
14,TUE,1421 LUNNHAVEN PKWY,PRIMROSE LANE,  999 Feet From,DAYLIGHT,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,TWO APPROACHES,SIDESWIPE-SAME DIRECTION,2,NO,NO,na,1421 LUNNHAVEN PKWY,43000.0,47000.0,fuzzy
14,TUE,6549 AUBURN DR,1000 COLLEAGE PARK BL,  830 Feet From,DAYLIGHT,RAIN,WET,YES-WORKING,NOT AT INTERSECTION,ANGLE,2,NO,NO,na,6549 AUBURN DR,6700.0,7200.0,fuzzy
13,MON,1400 SALEM RD,PRINCESS ANN RD,Yes,DAYLIGHT,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,NO TRAFFIC CONTROL DEVICE PRESENT,NOT AT INTERSECTION,SIDESWIPE-SAME DIRECTION,2,NO,NO,na,1400 SALEM RD,15000.0,16000.0,fuzzy
11,SAT,1300 KEMPSVILLE RD,KEMP LN,Yes,DAYLIGHT,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,FOUR APPROACHES,ANGLE,2,NO,NO,na,1300 KEMPSVILLE RD,39000.0,42000.0,fuzzy
8,SAT,DAM NECK RD,ELBOW RD,Yes,DAYLIGHT,NO ADVERSE CONDITION (CLEAR/CLOUDY),DRY,YES-WORKING,FOUR APPROACHES,ANGLE,3,NO,NO,na,DAM NECK RD,36000.0,38000.0,exact
