OBJECTID,EVENT_SOURCE_ID,DATA_DATE,ROUTE_COMMON_NAME,ROUTE_NAME,HTRIS_ID,ROUTE_ALIAS,START_LABEL,END_LABEL,ADT,ADT_QUALITY,PERCENT_4_TIRE,PERCENT_BUS,PERCENT_TRUCK_2_AXLE,PERCENT_TRUCK_3_AXLE,PERCENT_TRUCK_1_TRAIL,PERCENT_TRUCK_2_TRAIL,CLASS_QUALITY_CODE,K_FACTOR,K_FACTOR_QUALITY_CODE,DIRECTION_FACTOR,AAWDT,AAWDT_QUALITY_CODE,LOC_COMP_DIRECTIONALITY_NAME,ROUTE_FROM_MEASURE,FROM_JURISDICTION,ROUTE_TO_MEASURE,TO_JURISDICTION,PEAK_SINGLE_UNIT_TRUCK,PEAK_COMBINATION_TRUCK,EVENT_LOCATION_ID,EVENT_COMPONENT_ID,MAXIMUMSCALEDENOMINATOR,ROUTE_COMMON_NAME_ADT,FROM_DISTRICT,TO_DISTRICT,RTE_TYPE_CD,RTE_ID,Shape__Length
2,303720,2024/01/01 00:00:00+00,SC-619N (Warren County),R-VA093SC00619NB,9300619,          ,"93-615 S, Stokes Airport Rd",93-673 McCoys Ford Rd,3400,G,97.56435,0.42901,1.5638,0.27678,0.16607,0,C,0.1012,F,0.6425,3500,G,Bidirectional,2.17,Warren County,4.39,Warren County,0.36736,0,1,1,24000,SC-619N (Warren County) - ADT 3400,Staunton,Staunton,SC,1927082,4606.3739
4,770852,2017/10/20 00:00:00+00,SC-771N (Shenandoah County),R-VA085SC00771NB,8500771,          ,85-773 Coverstone Rd,85-678 Fort Valley Rd,110,R,,,,,,,X,,X,,,X,Bidirectional,2.4,Shenandoah County,3.7,Shenandoah County,,,1,1,24000,SC-771N (Shenandoah County) - ADT 110,Staunton,Staunton,SC,1667706,2758.632587
5,707164,2022/11/08 00:00:00+00,SC-771E (Botetourt County),R-VA011SC00771EB,1100771,          ,11-1412 Oak Lane,11-658 Laymantown Rd,760,R,,,,,,,X,,X,,,X,Bidirectional,1.43,Botetourt County,1.51,Botetourt County,,,1,1,24000,SC-771E (Botetourt County) - ADT 760,Salem,Salem,SC,1954124,172.402488
6,782190,2019/05/02 00:00:00+00,SC-1452N (Botetourt County),R-VA011SC01452NB,1101452,          ,11-1453 Gala Dr,Cul-de-Sac,70,R,,,,,,,X,,X,,,X,Bidirectional,0,Botetourt County,0.07,Botetourt County,,,1,1,24000,SC-1452N (Botetourt County) - ADT 70,Salem,Salem,SC,1955349,128.3573801
7,716883,2015/09/09 00:00:00+00,SC-3241E (Chesterfield County),R-VA020SC03241EB,2003241,          ,Begin Loop,20-763 Fordham Rd,640,R,,,,,,,X,,X,,,X,Bidirectional,0.4,Chesterfield County,0.5,Chesterfield County,,,1,1,24000,SC-3241E (Chesterfield County) - ADT 640,Richmond,Richmond,SC,1390826,203.3166978
8,797121,2014/01/27 00:00:00+00,SC-2739N (Loudoun County),R-VA053SC02739NB,5302739,          ,53-2740 Iron Bit Place,53-2738 Cedar Ridge Blvd,480,R,,,,,,,X,,X,,,X,Bidirectional,0.92,Loudoun County,1.27,Loudoun County,,,1,1,24000,SC-2739N (Loudoun County) - ADT 480,Northern Virginia,Northern Virginia,SC,2572123,725.511609
9,792373,2014/09/24 00:00:00+00,SC-1036E (Culpeper County),R-VA023SC01036EB,2301036,          ,23-1163,23-612 Wayland Rd,170,R,,,,,,,X,,X,,,X,Bidirectional,0.47,Culpeper County,0.739,Culpeper County,,,1,1,24000,SC-1036E (Culpeper County) - ADT 170,Culpeper,Culpeper,SC,1859132,511.9479162
10,770556,2017/09/20 00:00:00+00,SC-661N (Shenandoah County),R-VA085SC00661NB,8500661,          ,85-802 Franley Lane,1.33 MS 85-802,30,R,,,,,,,X,,X,,,X,Bidirectional,1.78,Shenandoah County,3.11,Shenandoah County,,,1,1,24000,SC-661N (Shenandoah County) - ADT 30,Staunton,Staunton,SC,1897964,2651.880583
11,718707,2021/08/25 00:00:00+00,SC-4505E (Chesterfield County),R-VA020SC04505EB,2004505,          ,20-626 Lakeview Dr,20-4506 Frye Ct,300,R,,,,,,,X,,X,,,X,Bidirectional,0,Chesterfield County,0.29,Chesterfield County,,,1,1,24000,SC-4505E (Chesterfield County) - ADT 300,Richmond,Richmond,SC,1392336,562.9419691
14,566042,2024/01/01 00:00:00+00,Reynolds RD SE (PR - City of Roanoke),S-VA128PR REYNOLDS RD SE,,          ,Mabry Ave,ECL Roanoke,740,F,99.29906,0.11682,0.58411,0,0,0,C,0.1098,F,0.6809,810,X,Bidirectional,0,City of Roanoke,0.319,City of Roanoke,0,0,1,1,24000,Reynolds RD SE (PR - City of Roanoke) - ADT 740,Salem,Salem,ST,9172495,539.3567031
15,707537,2022/11/08 00:00:00+00,SC-1480N (Botetourt County),R-VA011SC01480NB,1101480,          ,11-657 Rainbow Forest Dr,11-1481 Coachman Place,130,R,,,,,,,X,,X,,,X,Bidirectional,0,Botetourt County,0.17,Botetourt County,,,1,1,24000,SC-1480N (Botetourt County) - ADT 130,Salem,Salem,SC,1613300,354.9997101
16,750785,2020/11/12 00:00:00+00,SC-1503E (Loudoun County),R-VA053SC01503EB,5301503,          ,53-796 Loudoun St,53-673 Broad Way,790,R,,,,,,,X,,X,,,X,Bidirectional,0,Loudoun County,0.18,Loudoun County,,,1,1,48000,SC-1503E (Loudoun County) - ADT 790,Northern Virginia,Northern Virginia,SC,2014501,395.466131
17,754182,2019/01/10 00:00:00+00,SC-1070N (Montgomery County),R-VA060SC01070NB,6001070,          ,"60-603, N Fork Rd",60-1077 Enterprise Dr,220,R,,,,,,,X,,X,,,X,Bidirectional,0,Montgomery County,0.05,Montgomery County,,,1,1,24000,SC-1070N (Montgomery County) - ADT 220,Salem,Salem,SC,2221631,96.70137627
18,748300,2021/10/15 00:00:00+00,SC-628E (King and Queen County),R-VA049SC00628EB,4900628,          ,1.20 MW 49-721,2.60 MW 49-721 GAP,49,R,,,,,,,X,,X,,,X,Bidirectional,3.05,King and Queen County,4.45,King and Queen County,,,1,1,24000,SC-628E (King and Queen County) - ADT 49,Fredericksburg,Fredericksburg,SC,1866211,2637.047426
19,770518,2017/09/14 00:00:00+00,SC-648N (Shenandoah County),R-VA085SC00648NB,8500648,          ,85-601 Battlefield Rd,Dead End; Gap,40,R,,,,,,,X,,X,,,X,Bidirectional,0.92,Shenandoah County,1,Shenandoah County,,,1,1,24000,SC-648N (Shenandoah County) - ADT 40,Staunton,Staunton,SC,1666687,165.5768955
20,728195,2009/07/22 00:00:00+00,SC-3489N (Fairfax County),R-VA029SC03489NB,2903489,          ,29-3047 Long Pine Dr,Dead End,100,R,,,,,,,X,,X,,,X,Bidirectional,0,Fairfax County,0.06,Fairfax County,,,1,1,24000,SC-3489N (Fairfax County) - ADT 100,Northern Virginia,Northern Virginia,SC,1772779,90.21062556
21,715775,2018/07/02 00:00:00+00,SC-2675N (Chesterfield County),R-VA020SC02675NB,2002675,          ,20-2686 Milbrae Pl,Dead End,40,T,,,,,,,X,,X,,,X,Bidirectional,0.14,Chesterfield County,0.23,Chesterfield County,,,1,1,24000,SC-2675N (Chesterfield County) - ADT 40,Richmond,Richmond,SC,2170266,137.6117614
22,727328,2002/11/18 00:00:00+00,SC-3067E (Fairfax County),R-VA029SC03067EB,2903067,          ,29-3068 Mason Ridge Dr,29-3066 Watkins Trail,140,R,,,,,,,X,,X,,,X,Bidirectional,0,Fairfax County,0.08,Fairfax County,,,1,1,24000,SC-3067E (Fairfax County) - ADT 140,Northern Virginia,Northern Virginia,SC,1424973,164.5400866
23,795391,2022/10/25 00:00:00+00,SC-617E (Botetourt County),R-VA011SC00617EB,1100617,          ,11-627 Red Horse Lane,11-1321 Newtown Rd; Gap,280,R,,,,,,,X,,X,,,X,Bidirectional,0.75,Botetourt County,1.01,Botetourt County,,,1,1,24000,SC-617E (Botetourt County) - ADT 280,Salem,Salem,SC,1380017,907.9342005
26,776623,2024/01/01 00:00:00+00,SC-665N (Washington County),R-VA095SC00665NB,9500665,          ,95-671 Neal Rd,95-911; Rooster Ln,770,G,98.42041,0.24301,0.60753,0.42527,0.30377,0,C,0.1115,F,0.5652,770,G,Bidirectional,3.42,Washington County,4.2,Washington County,0.12154,0.12154,1,1,24000,SC-665N (Washington County) - ADT 770,Bristol,Bristol,SC,2246520,1674.890118
27,779152,2022/06/14 00:00:00+00,SC-722E (York County),R-VA099SC00722EB,9900722,          ,99-688 Pine Tree Rd,"99-667 E, Jason Dr",220,R,,,,,,,X,,X,,,X,Bidirectional,0.6,York County,0.65,York County,,,1,1,24000,SC-722E (York County) - ADT 220,Hampton Roads,Hampton Roads,SC,2145877,118.9913224
28,720134,2014/08/27 00:00:00+00,SC-745N (Culpeper County),R-VA023SC00745NB,2300745,          ,Dead End,US 522 Sperryville Pike,300,R,,,,,,,X,,X,,,X,Bidirectional,0,Culpeper County,0.54,Culpeper County,,,1,1,24000,SC-745N (Culpeper County) - ADT 300,Culpeper,Culpeper,SC,1966075,1030.242589
29,778864,2022/02/08 00:00:00+00,SC-606E (York County),R-VA099SC00606EB,9900606,          ,99-1733 Pocomoke Run,99-1732 SOUTH,1600,R,,,,,,,X,,X,,,X,Master Prime,0.92,York County,0.99,York County,,,1,1,24000,SC-606E (York County) - ADT 1600,Hampton Roads,Hampton Roads,SC,1710636,148.7332502
30,717044,2021/11/10 00:00:00+00,SC-3337N (Chesterfield County),R-VA020SC03337NB,2003337,          ,20-3338 Grinell Ct,Dead End,190,T,,,,,,,X,,X,,,X,Bidirectional,0.14,Chesterfield County,0.22,Chesterfield County,,,1,1,24000,SC-3337N (Chesterfield County) - ADT 190,Richmond,Richmond,SC,1391017,191.4002614
31,728406,2022/12/11 00:00:00+00,SC-3614E (Fairfax County),R-VA029SC03614EB,2903614,          ,29-2976 Masonville Dr,Cul-de-Sac,40,T,,,,,,,X,,X,,,X,Bidirectional,0,Fairfax County,0.04,Fairfax County,,,1,1,24000,SC-3614E (Fairfax County) - ADT 40,Northern Virginia,Northern Virginia,SC,1428015,76.50899638
32,753960,2020/01/14 00:00:00+00,SC-668N (Montgomery County),R-VA060SC00668NB,6000668,          ,60-600 Piney Woods Rd,60-669 Fairview Church Rd,40,R,,,,,,,X,,X,,,X,Bidirectional,0,Montgomery County,0.7,Montgomery County,,,1,1,24000,SC-668N (Montgomery County) - ADT 40,Salem,Salem,SC,2221004,1316.111356
